group,component_type,failure_mode,failure_description
Miscellaneous Equipment,Cooling Tower Fan (CTF),CTF-FTR<1H,Cooling Tower Fan Fails To Run <1H (Standby)
Miscellaneous Equipment,Cooling Tower Fan (CTF),CTF--FTR>1H,Cooling Tower Fan Fails To Run >1H (Standby)
Miscellaneous Equipment,Cooling Tower Fan (CTF),CTF-FTS-NR,Cooling Tower Fan Fails To Start
Miscellaneous Equipment,Cooling Tower Fan (CTF),CTF-FTR-NR,Cooling Tower Fan Fails To Run
Miscellaneous Equipment,Tank (TNK),TNK-FC,Tank Rupture
Miscellaneous Equipment,Tank (TNK),TNK-PRESS-LIQ-ELS,Pressurized Liquid Tank Small Leakage External Leakage (Small)
Miscellaneous Equipment,Tank (TNK),TNK-PRESS-LIQ-ELL,Pressurized Liquid Tank Small Leakage External Leakage (Rupture)
Miscellaneous Equipment,Tank (TNK),TNK-UNPRESS-LIQ-ELS,Unpressurized Liquid Tank Small Leakage External Leakage (Small)
Miscellaneous Equipment,Tank (TNK),TNK-UNPRESS-LIQ-ELL,Unpressurized Liquid Tank Small Leakage External Leakage (Rupture)
Miscellaneous Equipment,Tank (TNK),TNK-FC-IAS,Instrument Air System Tank Fails To Control
Miscellaneous Equipment,Tank (TNK),TNK-FC-SSW,Standby Service Water Tank Fails To Control
Miscellaneous Equipment,Tank (TNK),TNK-GAS-ELS,Gas Tank Small Leakage External Leakage (Small)
Miscellaneous Equipment,Tank (TNK),TNK-GAS-ELL,Gas Tank Small Leakage External Leakage (Rupture)
Miscellaneous Equipment,Orifice (ORF),ORF-PG,Orifice Plugging
Miscellaneous Equipment,Pipe (PIPE),PIPE-OTHER-ELS,Piping Non-Service Water System External Leak Small
Miscellaneous Equipment,Pipe (PIPE),PIPE-OTHER-ELL,Piping Non-Service Water System External Leak Large
Miscellaneous Equipment,Pipe (PIPE),PIPE-SWS-ELS,Piping Service Water System External Leak Small
Miscellaneous Equipment,Pipe (PIPE),PIPE-SWS-ELL,Piping Service Water System External Leak Large
Miscellaneous Equipment,Heat Exchanger (HTX),HTX-LOHT,Heat Exchanger Plugging/Loss of Heat Transfer
Miscellaneous Equipment,Heat Exchanger (HTX),HTX-ILS,Heat Exchanger Internal Leakage (Small)
Miscellaneous Equipment,Heat Exchanger (HTX),HTX-ILL,Heat Exchanger Internal Leakage (Rupture)
Miscellaneous Equipment,Heat Exchanger (HTX),HTX-ELS,Heat Exchanger External Leakage (Small)
Miscellaneous Equipment,Heat Exchanger (HTX),HTX-ELL,Heat Exchanger External Leakage (Rupture)
Miscellaneous Equipment,Heat Exchanger (HTX),HTX-PG-CCW,Heat Exchanger Plugging Non Standby
Miscellaneous Equipment,Heat Exchanger (HTX),HTX-PG-NE-CCW,Component Cooling Water Heat Exchanger Plugging Non-ExEE (hr-1)
Miscellaneous Equipment,Instrumentation,ICC-FC,Instrumentation and Control Circuit Fails
Miscellaneous Equipment,Instrumentation,ICC-FA,Failure of Instrument and Control for a Turbine Trip
Miscellaneous Equipment,Instrumentation,ACT-FC,Automatic Actuation and Control Circuit Fails
